ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-10-14,5TDERKEC5RS39D728,2024,Sienna Platinum,Available,False,Factory to port,57478,Celestial Silver Metallic,Nobel Brown Leather,112,Coggin Toyota at the Avenues,https://www.coggintoyota.com,False,50 State Emissions | 6-Gallons of Gas | Clear Paint Protection - Door Package | Clear Paint Protection - Full Hood Package | Cross Bars | Illuminated Door Sills | Mudguards | Phone Cable Charge Package | Platinum Package | SmartLED Ambient Lighting | Southeast Toyota Distributor | TOYOGUARD Platinum
2024-10-14,5TDERKEC5RS39D762,2024,Sienna Platinum,Available,False,Factory to port,56122,Predawn Gray Mica,Nobel Brown Leather,5,AutoNation Toyota Winter Park,https://www.autonationtoyotawinterpark.com,True,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | All Weather Tri-Fold Cargo Liner | Free Lifetime Powertrain Warranty | Mudguards | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum
2024-10-16,5TDERKEC5RS39E507,2024,Sienna Platinum,Available,False,Factory to port,56197,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,91,Clearwater Toyota,https://www.clearwatertoyota.com,True,50 State Emissions | 6-Gallons of Gas | Clear Paint Protection - Door Package | Mudguards | Phone Cable Charge Package | Platinum Package | Premium Paint | SET Digital Portfolio | TOYOGUARD Platinum
2024-10-20,5TDERKEC5RS40D318,2024,Sienna Platinum,DealerHold,False,Factory to port,55643,Blueprint,Nobel Brown Leather,116,Keith Pierson Toyota,https://www.keithpiersontoyota.com,False,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Illuminated Door Sills | Mudguards | Platinum Package | SET Digital Portfolio
2024-09-21,5TDERKEC6RS220196,2024,Sienna Platinum,DealerHold,False,At dealer,56162,Predawn Gray Mica,Nobel Brown Leather,173,Toyota of Deerfield Beach,https://www.toyotaofdeerfieldbeach.com,False,50 State Emissions | 6-Gallons of Gas | Clear Paint Protection - Door Package | Illuminated Door Sills | Mudguards | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum
2024-09-28,5TDERKEC6RS220960,2024,Sienna Platinum,Available,False,Factory to port,56919,Predawn Gray Mica,Nobel Brown Leather,147,Southern 441 Toyota,https://www.southern441toyota.com,False,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | All Weather Tri-Fold Cargo Liner | Clear Paint Protection - Door Package | Illuminated Door Sills | Mudguards | Phone Cable Charge Package | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum
2024-10-19,5TDERKEC6RS40C372,2024,Sienna Platinum,,False,Factory to port,55944,Ruby Flare Pearl [extra_cost_color],Nobel Brown Leather,137,AutoNation Toyota Fort Myers,https://www.autonationtoyotafortmyers.com,False,50 State Emissions | 6-Gallons of Gas | Mudguards | Platinum Package | Premium Paint | SET Digital Portfolio | TOYOGUARD Platinum | Temporary Spare Tire
2024-09-23,5TDERKEC7RS220367,2024,Sienna Platinum,Available,False,Port to dealer,57016,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,9,Central Florida Toyota,https://www.centralfloridatoyota.com,True,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | All Weather Tri-Fold Cargo Liner | Illuminated Door Sills | Mudguards | Platinum Package | Premium Paint | SET Digital Portfolio | TOYOGUARD Platinum
2024-10-06,5TDERKEC7RS38D900,2024,Sienna Platinum,DealerHold,False,Factory to port,56377,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,106,Gettel Toyota of Bradenton,https://www.getteltoyotaofbradenton.com,True,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Mudguards | Phone Cable Charge Package | Platinum Package | Premium Paint | Southeast Toyota Distributor | TOYOGUARD Platinum
2024-10-13,5TDERKEC7RS39D472,2024,Sienna Platinum,Available,False,Factory to port,56338,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,113,Sarasota Toyota,https://www.sarasotatoyota.com,False,50 State Emissions | 6-Gallons of Gas | Illuminated Door Sills | Mudguards | Platinum Package | Premium Paint | SET Digital Portfolio | TOYOGUARD Platinum
2024-09-24,5TDERKEC8RS221088,2024,Sienna Platinum,Available,False,Port to dealer,56909,Midnight Black Metallic,Nobel Brown Leather,200,Doral Toyota,https://www.doraltoyota.com,True,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Clear Paint Protection - Door Package | Cross Bars | Illuminated Door Sills | Mudguards | Phone Cable Charge Package | Platinum Package | Southeast Toyota Distributor | TOYOGUARD Platinum
